timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume
1704295126361,183.95,183.89,183.91,200,100,289955,0
1704295126399,183.95,183.89,183.91,200,200,289955,0
1704295126401,183.95,183.89,183.91,200,300,289955,0
1704295126402,183.95,183.89,183.91,200,400,289955,0
1704295126411,183.95,183.89,183.91,200,300,289955,0
1704295126418,183.95,183.76,183.91,100,300,289955,0
1704295126419,183.95,183.76,183.91,100,500,289955,0
1704295126422,183.95,183.76,183.91,100,400,289955,0
1704295126425,183.95,183.76,183.91,100,300,289955,0
1704295126426,183.95,183.76,183.91,100,200,289955,0
1704295126430,183.95,183.76,183.91,100,300,289955,0
1704295126431,183.95,183.76,183.91,100,400,289955,0
1704295126514,183.95,183.76,183.91,100,300,289955,0
1704295126524,183.95,183.76,183.91,100,200,289955,0
1704295126535,183.95,183.76,183.91,100,100,289955,0
1704295126555,183.95,183.76,183.91,100,200,289955,0
1704295126556,183.95,183.76,183.91,100,200,289955,0
1704295126566,183.95,183.76,183.91,100,100,289955,0
1704295126596,183.95,183.76,183.91,100,100,289955,0
1704295126597,183.95,183.76,183.91,100,200,289955,0
1704295126617,183.95,183.76,183.91,100,100,289955,0
1704295126756,183.95,183.9,183.91,100,100,289955,0
1704295126778,183.95,183.76,183.91,100,100,289955,0
1704295126843,183.95,183.76,183.91,100,200,289955,0
1704295126848,183.95,183.76,183.91,100,200,289955,0
1704295126855,183.95,183.76,183.91,100,200,289955,0
1704295126856,183.95,183.76,183.91,100,100,289955,0
1704295126872,183.95,183.76,183.91,100,200,289955,0
1704295126878,183.95,183.76,183.91,100,500,289955,0
1704295126883,183.95,183.76,183.91,100,400,289955,0
1704295126884,183.95,183.76,183.91,100,300,289955,0
1704295126887,183.95,183.76,183.91,100,200,289955,0
1704295126896,183.95,183.76,183.91,100,200,289955,0
1704295126897,183.95,183.76,183.91,100,100,289955,0
1704295126898,183.95,183.76,183.91,100,200,289955,0
1704295126903,183.95,183.76,183.91,100,200,289955,0
1704295126910,183.95,183.76,183.91,100,200,289955,0
1704295126927,183.95,183.76,183.91,100,200,289955,0
1704295126935,183.95,183.76,183.91,100,200,289955,0
1704295126941,183.95,183.76,183.91,100,200,289955,0
1704295126942,183.95,183.76,183.91,100,100,289955,0
1704295126947,183.95,183.76,183.91,100,200,289955,0
1704295126948,183.95,183.76,183.91,100,100,289955,0
1704295126954,183.95,183.76,183.91,100,200,289955,0
1704295126955,183.95,183.76,183.91,100,100,289955,0
1704295126960,183.95,183.76,183.91,100,200,289955,0
1704295126967,183.95,183.76,183.91,100,200,289955,0
1704295126977,183.95,183.76,183.91,100,200,289955,0
1704295126989,183.95,183.76,183.91,100,200,289955,0
1704295126990,183.95,183.76,183.91,100,100,289955,0
1704295127035,183.95,183.76,183.91,100,200,289955,0
1704295127036,183.95,183.76,183.91,100,100,289955,0
1704295127060,183.95,183.76,183.91,100,200,289955,0
1704295127061,183.95,183.76,183.91,100,100,289955,0
1704295127069,183.95,183.76,183.91,100,200,289955,0
1704295127070,183.95,183.76,183.91,100,100,289955,0
1704295127103,183.95,183.76,183.91,100,200,289955,0
1704295127152,183.95,183.76,183.92,100,300,289955,0
1704295127227,183.95,183.76,183.91,100,100,289955,0
1704295127228,183.95,183.76,183.91,100,300,289955,0
1704295127233,183.95,183.76,183.91,100,400,289955,0
1704295127247,183.95,183.76,183.91,100,300,289955,0
1704295127250,183.95,183.76,183.91,100,200,289955,0
1704295127254,183.95,183.76,183.91,100,300,289955,0
1704295127259,183.95,183.76,183.91,100,200,289955,0
1704295127266,183.95,183.76,183.91,100,100,289955,0
1704295127302,183.95,183.76,183.91,100,100,289955,0
1704295127309,183.95,183.76,183.91,100,200,289955,0
1704295127310,183.95,183.76,183.91,100,500,289955,0
1704295127339,183.95,183.76,183.91,100,400,289955,0
1704295127369,183.95,183.76,183.91,100,300,289955,0
1704295127440,183.95,183.76,183.91,100,200,289955,0
1704295127603,183.95,183.76,183.91,100,100,289955,0
1704295127617,183.95,183.76,183.92,100,200,289955,0
1704295127635,183.95,183.9,183.92,100,200,289955,0
1704295127677,183.95,183.76,183.92,100,200,289955,0
1704295127678,183.95,183.76,183.91,100,100,289955,0
1704295127680,183.95,183.76,183.91,100,200,289955,0
1704295127715,183.95,183.76,183.91,100,100,289955,0
1704295127719,183.95,183.76,183.91,100,200,289955,0
1704295127738,183.95,183.76,183.91,100,400,289955,0
1704295127811,183.95,183.76,183.91,100,300,289955,0
1704295127812,183.95,183.76,183.91,100,200,289955,0
1704295127961,183.95,183.76,183.91,100,300,289955,0
1704295127962,183.95,183.76,183.91,100,400,289955,0
1704295127966,183.95,183.76,183.91,100,400,289955,0
1704295127967,183.95,183.76,183.91,100,300,289955,0
1704295128029,183.95,183.76,183.91,100,300,289955,0
